date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,total_points_home,previous_points_home,rank_home,rank_change_home,total_points_away,previous_points_away,rank_away,rank_change_away
2019-03-21,United Arab Emirates,Saudi Arabia,2.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,False,1355.0,1309.0,67.0,-12.0,1344.0,1335.0,70.0,1.0
2019-03-21,United States,Ecuador,1.0,0.0,Friendly,Orlando,United States,False,1501.0,1497.0,25.0,0.0,1382.0,1382.0,58.0,1.0
2019-03-21,Netherlands,Belarus,4.0,0.0,UEFA Euro qualification,Rotterdam,Netherlands,False,1560.0,1560.0,14.0,0.0,1317.0,1317.0,78.0,2.0
2019-03-21,Croatia,Azerbaijan,2.0,1.0,UEFA Euro qualification,Zagreb,Croatia,False,1634.0,1634.0,4.0,0.0,1206.0,1206.0,108.0,1.0
2019-03-21,Austria,Poland,0.0,1.0,UEFA Euro qualification,Vienna,Austria,False,1509.0,1509.0,23.0,1.0,1518.0,1518.0,20.0,0.0
2019-03-21,Belgium,Russia,3.0,1.0,UEFA Euro qualification,Brussels,Belgium,False,1727.0,1727.0,1.0,0.0,1424.0,1424.0,50.0,2.0
2019-03-22,Argentina,Venezuela,1.0,3.0,Friendly,Madrid,Spain,True,1582.0,1582.0,11.0,0.0,1478.0,1478.0,32.0,1.0
2019-03-22,Guatemala,Costa Rica,1.0,0.0,Friendly,Guatemala City,Guatemala,False,1061.0,1061.0,149.0,0.0,1461.0,1464.0,37.0,1.0
2019-03-22,Japan,Colombia,0.0,1.0,Kirin Challenge Cup,Yokohama,Japan,False,1495.0,1414.0,27.0,-23.0,1575.0,1575.0,12.0,0.0
2019-03-22,South Korea,Bolivia,1.0,0.0,Friendly,Ulsan,South Korea,False,1451.0,1405.0,38.0,-15.0,1374.0,1374.0,60.0,1.0
2019-03-22,Mexico,Chile,3.0,1.0,Friendly,San Diego,United States,True,1540.0,1540.0,17.0,0.0,1565.0,1565.0,13.0,0.0
2019-03-22,England,Czech Republic,5.0,0.0,UEFA Euro qualification,London,England,False,1631.0,1631.0,5.0,0.0,1435.0,1435.0,44.0,2.0
2019-03-22,Portugal,Ukraine,0.0,0.0,UEFA Euro qualification,Lisbon,Portugal,False,1614.0,1614.0,6.0,0.0,1482.0,1482.0,30.0,2.0
